name,artist,album,release_date,image_url,preview_url,spotify_url
TQG,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
Die For You - Remix,The Weeknd,Die For You (Remix),2023-02-24,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
Flowers,Miley Cyrus,Flowers,2023-01-13,https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d,https://p.scdn.co/mp3-preview/f2857681239dee871da7055d2f725ea6dcd1b4d8?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
Kill Bill,SZA,SOS,2022-12-08,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,https://p.scdn.co/mp3-preview/89777141363562da8e98f2130988bf1ca0e3ab9c?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,https://p.scdn.co/mp3-preview/eb1571e89783c04e4ac63247be85fd059365151e?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812,https://p.scdn.co/mp3-preview/4968565ad1dc546d2fe104b868a713a220339f63?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
As It Was,Harry Styles,Harry's House,2022-05-20,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/fad580cc031fb69d97c1020248ce082e681db446?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
Yandel 150,Yandel,Resistencia,2023-01-13,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,https://p.scdn.co/mp3-preview/efb0a63936009a18c45585fcf2305073f875ac45?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD
Last Night,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
