name,artist,album,release_date,image_url,preview_url,spotify_url
Last Night,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,https://p.scdn.co/mp3-preview/eb1571e89783c04e4ac63247be85fd059365151e?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
Kill Bill,SZA,SOS,2022-12-08,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,https://p.scdn.co/mp3-preview/89777141363562da8e98f2130988bf1ca0e3ab9c?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
Die For You - Remix,The Weeknd,Die For You (Remix),2023-02-24,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
One Thing At A Time,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/1rXq0uoV4KTgRN64jXzIxo
Everything I Love,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/03fs6oV5JAlbytRYf3371S
Born With A Beer In My Hand,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/1BAU6v0fuAV914qMUEESR1
Man Made A Bar (feat. Eric Church),Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/73zawW1ttszLRgT9By826D
Ain’t That Some,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX
Devil Don’t Know,Morgan Wallen,One Thing At A Time,2023-03-03,https://i.scdn.co/image/ab67616d0000b273fda3d35cd6d88c35f82a492e,,https://open.spotify.com/track/2PsbT927UanvyH9VprlNOu
